symbol,name,currency,exchange,mic_code,country,type
ADGI,"Adagio Therapeutics, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
AIMDW,"Ainos, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
ALBT,Avalon GloboCare Corp.,USD,NASDAQ,XNCM,United States,Common Stock
ALSA,Alpha Star Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock
ALYA,Alithya Group Inc,USD,NASDAQ,XNCM,United States,Common Stock
ANNX,"Annexon, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
AOGOU,Arogo Capital Acquisition Corp,USD,NASDAQ,XNMS,United States,Unit
ARYD,ARYA Sciences Acquisition Corp IV,USD,NASDAQ,XNCM,United States,Common Stock
ATAK,Aurora Technology Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
ATCOL,Atlas Corp.,USD,NASDAQ,XNMS,United States,Common Stock
ATY,AcuityAds Holdings Inc.,USD,NASDAQ,XNCM,United States,Common Stock
BGFV,Big 5 Sporting Goods Corp,USD,NASDAQ,XNGS,United States,Common Stock
BIOTU,Biotech Acquisition Company,USD,NASDAQ,XNCM,United States,Unit
BLZE,"Backblaze, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
BPYPM,Brookfield Property Preferred L.P.,USD,NASDAQ,XNGS,United States,Common Stock
BRIVU,B. Riley Principal 250 Merger Corp.,USD,NASDAQ,XNCM,United States,Unit
BROGW,Brooge Energy Limited,USD,NASDAQ,XNCM,United States,Common Stock
BRSHW,Bruush Oral Care Inc.,USD,NASDAQ,XNCM,United States,Common Stock
BYTSW,BYTE Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock
BZUN,Baozun Inc,USD,NASDAQ,XNGS,United States,Depositary Receipt
CABA,Cabaletta Bio Inc,USD,NASDAQ,XNGS,United States,Common Stock
CCLD,"CareCloud, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
CDLX,Cardlytics Inc,USD,NASDAQ,XNMS,United States,Common Stock
CELU,Celularity Inc.,USD,NASDAQ,XNCM,United States,Common Stock
CHEK,Check Cap Ltd,USD,NASDAQ,XNCM,United States,Common Stock
CINC,"CinCor Pharma, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
CING,Cingulate Inc.,USD,NASDAQ,XNCM,United States,Common Stock
CMCSA,Comcast Corp,USD,NASDAQ,XNGS,United States,Common Stock
CMND,"Caleminder, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
COMS,ComSovereign Holding Corp.,USD,NASDAQ,XNCM,United States,Common Stock
CPAQ,Counter Press Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock
CSBR,Champions Oncology Inc,USD,NASDAQ,XNCM,United States,Common Stock
DICE,"DICE Therapeutics, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
EMLDU,FTAC Emerald Acquisition Corp. Unit,USD,NASDAQ,XNMS,United States,Unit
